cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,2048,1536,7168,ck,0,0,57.4241,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,785.34,556.94,0.0
256,4096,1536,7168,cktile,2,0,89.8431,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1003.91,589.4,0.0
256,8192,1536,7168,cktile,2,0,156.3641,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1153.64,606.89,0.0
256,16384,1536,7168,cktile,2,0,253.0508,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1425.71,706.51,0.0
256,20480,1536,7168,cktile,2,0,295.9502,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1523.81,745.82,0.0
256,128,4096,512,ck,13,0,4.2556,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,126.16,754.6,0.0
256,128,4096,1280,ck,7,0,7.4661,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,179.77,864.61,0.0
256,32768,4096,2048,cktile,2,0,419.2434,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1311.3,820.37,0.0
256,16,4608,7168,ck,8,0,21.9298,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,48.2,1518.13,0.0
256,32,4608,7168,ck,8,0,22.0875,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,95.71,1519.16,0.0
256,64,4608,7168,ck,18,0,27.4405,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,154.07,1241.91,0.0
256,128,4608,7168,ck,18,0,27.9176,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,302.88,1258.25,0.0
256,256,4608,7168,ck,2,0,43.592,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,387.95,853.93,0.0
256,512,4608,7168,ck,0,0,55.8224,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,605.9,741.97,0.0
256,1024,4608,7168,cktile,2,0,85.3305,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,792.75,583.7,0.0
256,1536,4608,7168,cktile,2,0,90.2354,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1124.49,644.94,0.0
256,2048,4608,7168,cktile,2,0,97.4114,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1388.87,683.54,0.0
256,4096,4608,7168,cktile,2,0,188.4086,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1436.15,531.5,0.0
256,8192,4608,7168,cktile,2,0,323.0122,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1675.37,517.78,0.0
256,16384,4608,7168,cktile,2,0,609.1964,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1776.65,494.86,0.0
256,20480,4608,7168,cktile,2,0,769.1232,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1759.04,479.21,0.0
256,16,7168,256,ck,8,0,3.0212,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.44,684.66,0.0
